"streams_mill","released_month","mode","key","bpm","danceability","energy","liveness"
70.106975,6,"Major","A",120,78,30,13
113.509496,3,"Major","C#",155,82,39,9
89.933133,5,"Major","G#",129,70,43,11
71.007139,9,"Minor","F",135,80,74,8
43.522589,6,"Minor","A#",98,73,62,13
232.896922,3,"Minor","A",124,84,39,11
37.126685,6,"Minor","A",135,77,55,22
195.576623,3,"Major","D",107,78,53,11
532.336353,10,"Major","D",96,54,74,9
538.115192,11,"Major","G#",123,71,70,32
46.142772,5,"Major","G#",90,62,62,58
401.036314,12,"Minor","F",117,72,59,20
127.026613,4,"Minor","A",133,78,84,7
345.03171,12,"Minor","G#",96,74,83,35
288.101651,12,"Major","G#",149,66,60,14
60.350538,5,"Minor","F#",110,66,40,11
335.074782,11,"Major","F#",105,95,52,5
76.767396,5,"Major","C#",105,80,78,11
46.065667,5,"Major","B",134,76,58,16
459.276435,7,"Minor","E",170,71,56,27
39.666245,6,"Major","F#",81,59,60,25
138.517666,3,"Major","F#",154,63,92,91
822.633917,6,"Major","C#",169,69,51,38
595.900742,7,"Major","G",115,78,69,7
51.985779,6,"Minor","A",84,43,74,19
57.945987,5,"Major","G#",93,79,62,11
115.01004,4,"Major","G",91,82,62,10
175.097833,4,"Minor","A#",142,82,44,33
57.089066,5,"Major","C#",126,78,70,16
488.386797,10,"Major","A#",97,73,44,16
32.761689,6,"Major","F",101,92,51,26
1047.480053,5,"Minor","G",98,80,48,6
153.454328,1,"Major","F#",154,59,89,80
217.672943,2,"Major","A",120,91,58,31
457.184829,10,"Major","B",150,49,55,6
939.844851,1,"Major","A",174,47,78,10
726.434358,9,"Major","A#",202,34,51,18
573.63302,11,"Minor","B",153,56,52,36
1406.111294,10,"Major","F",142,60,37,13
71.573339,5,"Minor","A",108,84,47,20
24.975653,6,"Major","B",143,83,69,23
145.458418,2,"Major","D",108,67,67,80
1424.589568,1,"Minor","F",104,95,66,4
231.332117,12,"Minor","F#",93,84,79,18
415.932686,12,"Minor","F#",105,65,53,9
988.515741,6,"Major","G#",170,44,32,14
50.847624,5,"Minor","C#",178,62,66,12
39.893489,5,"Minor","F#",176,50,76,32
92.035115,5,"Minor","E",104,80,88,11
118.810253,4,"Major","G",85,70,84,47
77.233241,4,"Minor","F#",117,77,58,26
206.399629,2,"Major","",80,52,48,15
117.747907,4,"Major","F",98,44,41,38
266.624541,2,"Minor","C#",178,79,78,11
293.186992,4,"Major","A",148,51,33,22
139.681964,2,"Major","D",120,77,66,38
123.132751,4,"Minor","E",122,68,88,8
103.762518,1,"Major","F",144,74,73,9
162.887075,3,"Major","D",96,93,47,10
91.221625,4,"Major","G#",137,77,88,17
190.490915,4,"Minor","F#",121,94,61,53
96.180277,4,"Minor","A",119,60,57,50
185.240616,8,"Major","D",96,72,47,13
885.093467,4,"Major","C#",111,87,52,11
104.992946,4,"Major","A",148,90,68,10
147.290338,2,"Major","A",182,57,59,6
1302.184087,9,"Major","D",141,79,86,4
158.950978,12,"Minor","E",145,76,81,6
76.910644,4,"Minor","B",110,76,70,41
137.12388,8,"Major","G",134,70,41,10
782.369383,7,"Major","G",130,92,62,6
502.574952,10,"Major","A#",145,84,53,8
207.033255,2,"Minor","B",130,69,90,15
404.887295,4,"Major","",173,59,53,23
381.161027,11,"Minor","B",92,75,76,10
466.231982,6,"Minor","F",105,56,87,10
357.580552,11,"Minor","G",175,59,64,12
